Category,Body
Scam,Return-Path: <james_ngola2002@maktoob.com>
Scam,X-Sieve: cmu-sieve 2.0
Scam,Return-Path: <james_ngola2002@maktoob.com>
Scam,Message-Id: <200210310241.g9V2fNm6028281@cs.CU>
Scam,"From: ""MR. JAMES NGOLA."" <james_ngola2002@maktoob.com>"
Scam,Reply-To: james_ngola2002@maktoob.com
Scam,To: webmaster@aclweb.org
Scam,"Date: Thu, 31 Oct 2002 02:38:20 +0000"
Scam,Subject: URGENT BUSINESS ASSISTANCE AND PARTNERSHIP
Scam,X-Mailer: Microsoft Outlook Express 5.00.2919.6900 DM
Scam,MIME-Version: 1.0
Scam,"Content-Type: text/plain; charset=""us-ascii"""
Scam,Content-Transfer-Encoding: 8bit
Scam,X-MIME-Autoconverted: from quoted-printable to 8bit by sideshowmel.si.UM id g9V2foW24311
Scam,Status: O
Scam,
Scam,FROM:MR. JAMES NGOLA.
Scam,CONFIDENTIAL TEL: 233-27-587908.
Scam,E-MAIL: (james_ngola2002@maktoob.com).
Scam,
Scam,URGENT BUSINESS ASSISTANCE AND PARTNERSHIP.
Scam,
Scam,
Scam,"DEAR FRIEND,"
Scam,
Scam,"I AM ( DR.) JAMES NGOLA, THE PERSONAL ASSISTANCE TO THE LATE CONGOLESE (PRESIDENT LAURENT KABILA) WHO WAS ASSASSINATED BY HIS BODY GUARD ON 16TH JAN. 2001."
Scam,
Scam,
Scam,"THE INCIDENT OCCURRED IN OUR PRESENCE WHILE WE WERE HOLDING MEETING WITH HIS EXCELLENCY OVER THE FINANCIAL RETURNS FROM THE DIAMOND SALES IN THE AREAS CONTROLLED BY (D.R.C.) DEMOCRATIC REPUBLIC OF CONGO FORCES AND THEIR FOREIGN ALLIES ANGOLA AND ZIMBABWE, HAVING RECEIVED THE PREVIOUS DAY (USD$100M) ONE HUNDRED MILLION UNITED STATES DOLLARS, CASH IN THREE DIPLOMATIC BOXES ROUTED THROUGH ZIMBABWE."
Scam,
Scam,"MY PURPOSE OF WRITING YOU THIS LETTER IS TO SOLICIT FOR YOUR ASSISTANCE AS TO BE A COVER TO THE FUND AND ALSO COLLABORATION IN MOVING THE SAID FUND INTO YOUR BANK ACCOUNT THE SUM OF (USD$25M) TWENTY FIVE MILLION UNITED STATES DOLLARS ONLY, WHICH I DEPOSITED WITH A SECURITY COMPANY IN GHANA, IN A DIPLOMATIC BOX AS GOLDS WORTH (USD$25M) TWENTY FIVE MILLION UNITED STATES DOLLARS ONLY FOR SAFE KEEPING IN A SECURITY VAULT FOR ANY FURTHER INVESTMENT PERHAPS IN YOUR COUNTRY."
Scam,
